method,lambda_eff,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,invasion_mean,invasion_std,invasion_sem,success_rate
TIA,18,10,0.1845289855072464,0.010712696544511026,0.0033876520962870206,0.40268517531987263,0.025226480079389227,0.00797731343997352,0.5002753872633391,0.01227333288469961,0.0038811686397095505,0.0
TIA,20,10,0.18293478260869564,0.014222525997399055,0.004497557623273903,0.4049978549850306,0.02976915539978774,0.009413833508282964,0.5225817555938037,0.008725434235127304,0.002759224575701144,0.0
Katz,1,10,0.20735507246376814,0.013365637064812447,0.004226585550397487,0.5044834407186467,0.02911582552407755,0.009207232461215072,0.11087779690189328,0.007453999316607599,0.0023571615517818576,0.0
Katz,2,10,0.20681159420289852,0.008067271246488445,0.0025510951641289125,0.48143444317761813,0.025335081093806527,0.008011656096149865,0.1818932874354561,0.0054236261318364575,0.001715101175381187,0.0
Katz,4,10,0.20782608695652174,0.011564954048797971,0.0036571595829387672,0.47203519565848284,0.03133067479264327,0.00990762929747764,0.29232358003442344,0.0085420006482514,0.0027012177823109215,0.0
Katz,6,10,0.21061594202898554,0.008752906319624224,0.0027679120116094313,0.47647799627594,0.023668368753701857,0.007484595376245868,0.3851635111876076,0.01018426864168186,0.003220548521074391,0.0
Katz,8,10,0.20525362318840581,0.013750226745757916,0.004348203486036001,0.49084559633803737,0.03218896214648462,0.01017904358998339,0.4434767641996558,0.007141592074273236,0.002258369707450981,0.0
Katz,10,10,0.20652173913043476,0.00674536099701463,0.002133070439063047,0.4765347241834347,0.0157114999106481,0.0049684125175179965,0.5004130808950086,0.013353487295612108,0.004222743456025644,0.0
Katz,12,10,0.20344202898550728,0.006221448120749431,0.0019673946406142473,0.49377548898297396,0.024123301024232657,0.007628457591844791,0.5307056798623064,0.008944854819666543,0.0028286114569680966,0.0
Katz,14,10,0.20373188405797102,0.0096366595295937,0.0030473793149082876,0.490570186153554,0.024990729196817694,0.007902762465041426,0.5683648881239243,0.010446185695439883,0.0033033739658660027,0.0
Katz,16,10,0.21003623188405798,0.009527056618572423,0.003012719831207087,0.4844372189210677,0.026815618268683387,0.008479843059466054,0.6002065404475043,0.018771460257652955,0.005936056942151451,0.0
Katz,18,10,0.20778985507246378,0.00916208283168979,0.0028973049859264866,0.4654259688082316,0.01710018737505221,0.005407554052082097,0.6205507745266782,0.013374767625650315,0.004229472887253727,0.0
Katz,20,10,0.20340579710144926,0.015071941183805724,0.004766166290092059,0.4850169093698402,0.03318005900422375,0.010492455935212544,0.6468846815834768,0.013124124599921318,0.004150212603159746,0.0
GNN-RL,1,10,0.14815217391304347,0.011149122389529625,0.003525662066289263,0.6633261642200403,0.027614093675286753,0.008732343153515624,0.07941480206540447,0.004263641671741602,0.001348281880951143,0.0
GNN-RL,2,10,0.1343840579710145,0.005203912742781968,0.0016456217011964972,0.6898756729732294,0.01964576462969305,0.0062125362605404445,0.12674698795180722,0.004394347235038334,0.001389614609238441,0.0
GNN-RL,4,10,0.12721014492753624,0.007394234287141004,0.0023382621900277056,0.7112567191615093,0.029968742028238356,0.009476948341924736,0.2027882960413081,0.00859958463696136,0.002719427438419011,0.0
GNN-RL,6,10,0.13202898550724634,0.006698882463141779,0.0021183726361286973,0.712363191054431,0.0279854623686964,0.008849780245801147,0.27215146299483645,0.005606261779424727,0.001772855638213064,0.0
GNN-RL,8,10,0.1263768115942029,0.006571469013770804,0.0020780809656736144,0.7306261569517607,0.02182061395872385,0.006900284005283073,0.31132530120481927,0.009863612929466395,0.0031191482815399563,0.0
GNN-RL,10,10,0.12525362318840577,0.0022975128786214033,0.0007265373650013608,0.7542174882454489,0.014919192762549403,0.004717862998075574,0.3591049913941481,0.006918676826306612,0.002187877716575406,0.0
GNN-RL,12,10,0.12442028985507243,0.0025884885651437342,0.0008185519563155333,0.7538948168917268,0.020115273808384914,0.006361008099242573,0.392289156626506,0.008052723371386388,0.002546494722085097,0.0
GNN-RL,14,10,0.12264492753623188,0.005847269337575801,0.0018490689199203512,0.7619061879890856,0.015012911906455628,0.004747499593586051,0.4226506024096385,0.010637668533268934,0.0033639261559032475,0.0
GNN-RL,16,10,0.12144927536231884,0.004946149839588846,0.001564109914157722,0.7719289348188582,0.018663999041006907,0.00590207472167802,0.4475731497418244,0.010304967844168077,0.0032587169602366216,0.0
GNN-RL,18,10,0.12351449275362318,0.004003418251689749,0.0012659920101628843,0.7674043647312099,0.019615645895355627,0.006203011880465666,0.4748709122203099,0.011574918900143016,0.0036603107456183006,0.0
GNN-RL,20,10,0.11956521739130435,0.00480123732564564,0.001518284553605578,0.7869095676449117,0.011063862319964647,0.00349870046496029,0.49820998278829604,0.01832867881371498,0.005796037155301234,0.0
