method,lambda_eff,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,infiltration_mean,infiltration_std,infiltration_sem,success_rate
Katz,18,10,0.305039566847147,0.005663234580194722,0.0017908720197242817,0.5677197147804941,0.01020905350935082,0.003228386184408369,0.7216066481994459,0.0032632414923764617,0.0010319275671076607,0.0
Katz,20,10,0.3057267805081216,0.007205120454918574,0.0022784591453411237,0.5654809373310399,0.012143340116303301,0.0038400613169612416,0.7399089829837753,0.005984008913656204,0.0018923097705903465,0.0
GNN-RL,1,10,0.2167221990837151,0.006683417089883902,0.0021134820556927424,0.7105770374652699,0.007707982034013756,0.0024374779391140924,0.12807677087455482,0.003495014800088261,0.001105220722427696,0.0
GNN-RL,2,10,0.22303206997084546,0.012215751250364403,0.0038629597281201297,0.7018730237982769,0.012314086043431411,0.0038940559200534375,0.21204986149584487,0.006794544371749182,0.002148623587780523,0.0
GNN-RL,4,10,0.20247813411078716,0.004167065259221729,0.001317741737770063,0.7307875110979525,0.005896692481599668,0.0018646978903445472,0.32182429758607045,0.007165949515438517,0.0022660722066565643,0.0
GNN-RL,6,10,0.19633486047480217,0.004118651664593777,0.001302432014896021,0.7458780081133963,0.005126645972664194,0.001621187803094817,0.39687376335575786,0.006125324509471704,0.0019369976857584205,0.0
GNN-RL,8,10,0.1910662224073303,0.004468575323660741,0.0014130875918792047,0.752919285666111,0.004288203819636325,0.0013560491141084664,0.45296794618124253,0.006000864574046569,0.0018976399984203301,0.0
GNN-RL,10,10,0.18658892128279886,0.00548760319600187,0.0017353324994585312,0.7593601157686851,0.0054263985044085495,0.001715977876566226,0.4900870597546497,0.010084205899871123,0.003188905903770062,0.0
GNN-RL,12,10,0.1795501874219075,0.0050846288919722945,0.0016079008355330685,0.7695132548135243,0.0068133977387106436,0.002154585545896642,0.516778789077958,0.008598647706639569,0.0027191311550364377,0.0
GNN-RL,14,10,0.17515618492294877,0.0030054676261921857,0.0009504123132666837,0.7766506289921353,0.004066158607467875,0.0012858322527097025,0.5448753462603878,0.003840583011594481,0.0012144989859587422,0.0
GNN-RL,16,10,0.1674718867138692,0.0025687869962697685,0.0008123217732034922,0.7870618832052452,0.002223811286794239,0.0007032308752659718,0.5743371586861892,0.008693397576687828,0.002749093694772184,0.0
