method,lambda_eff,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,invasion_mean,invasion_std,invasion_sem,success_rate
Katz,18,10,0.5561535493827161,0.00442135352665866,0.0013981547485059358,0.6440133474630556,0.004729386667701569,0.0014955633805570844,0.9344328385559832,0.0017960455112781043,0.0005679594596960444,1.0
Katz,20,10,0.553221450617284,0.006303444477422617,0.0019933241653065283,0.6476676323944802,0.007439778381501707,0.002352664497242651,0.9388308594465824,0.0016257771016506325,0.0005141158608963091,1.0
GNN-RL,1,10,0.44350887345679013,0.006576072120820131,0.0020795365959325597,0.7451774076874763,0.004511432130036798,0.0014266401040181212,0.2636338647608576,0.002762791762177893,0.000873671466923238,1.0
GNN-RL,2,10,0.4187885802469136,0.00557864900806477,0.001764123713212371,0.7589476241122262,0.003617522558046258,0.001143961077046485,0.38511086677661716,0.005705322429526674,0.0018041813662949785,1.0
GNN-RL,4,10,0.38349729938271604,0.0051166938837273815,0.001618040676243128,0.7790632978423228,0.0029911247933742916,0.0009458767112863281,0.5225490196078432,0.004348001014279616,0.0013749586473845883,1.0
GNN-RL,6,10,0.365846836419753,0.0059032899524629956,0.0018667841938170184,0.7892578432546722,0.0033651346031142644,0.0010641489978887822,0.6034909290819133,0.007070521768320555,0.0022358953033694315,1.0
GNN-RL,8,10,0.34658564814814813,0.004303513706181056,0.0013608905253284778,0.8012300987925649,0.0021316180281437578,0.0006740768070411177,0.6642752428074032,0.008344904407655975,0.002638890478457113,1.0
GNN-RL,10,10,0.3404031635802469,0.00519940399686178,0.0016441959105466188,0.8044580319259904,0.002686297479475246,0.0008494818507911197,0.7079439252336448,0.00713187927209071,0.0022552982497150375,1.0
GNN-RL,12,10,0.3324170524691358,0.007324311528555541,0.0023161506722864903,0.8094009207698566,0.003952497066381389,0.0012498893174898921,0.7387209089243173,0.006985464533018838,0.002208997843866401,1.0
GNN-RL,14,10,0.32689043209876545,0.005892461785674408,0.0018633600268234056,0.8123692691955553,0.003136940291806239,0.0009919876206060945,0.762112882536192,0.006225009411997512,0.001968520819789763,1.0
GNN-RL,16,10,0.3212770061728395,0.004575867755932594,0.0014470164380470457,0.8162115288848961,0.0026497342550638233,0.000837919544017123,0.7873740150265713,0.004988363360198324,0.0015774590014757631,1.0
GNN-RL,18,10,0.3147087191358025,0.00409965047794959,0.0012964233120918607,0.8192706659478128,0.002472001152707106,0.0007817154021116162,0.801685908008063,0.002995801461111574,0.000947355603477292,1.0
GNN-RL,20,10,0.3107349537037037,0.0068932237948015,0.0021798287612841884,0.8216943300704938,0.0037662347107883945,0.0011909879888876856,0.8159703133589884,0.004399595420919226,0.0013912742313351965,1.0
