method,lambda_eff,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,flooded_mean,flooded_std,flooded_sem,success_rate
TIA,6,10,0.0964863184079602,0.0012880793020651734,0.00040732644014459754,0.9017133877017468,0.005508789731105326,0.0017420322701239344,0.12088332333533294,0.0012859217495469232,0.00040664416213168726,0.0
TIA,8,10,0.09594993781094527,0.0014535028638225898,0.00045963796352569374,0.897888988488982,0.004389684144328454,0.0013881400104805218,0.12705458908218356,0.001534611642286616,0.00048528681134372737,0.0
TIA,10,10,0.09584888059701493,0.001669793490556964,0.0005280350652282866,0.9029272183055911,0.006645062053212413,0.0021013531281306235,0.13244601079784044,0.001959118638096967,0.0006195277102873538,0.0
TIA,12,10,0.09493936567164178,0.0011876369415541872,0.00037556377686675054,0.9021383179115828,0.007091344765332557,0.0022424801131963124,0.1369376124775045,0.002018977297846006,0.0006384566805365544,0.0
TIA,14,10,0.09499378109452736,0.001198249307711302,0.0003789197017087676,0.9028044011517977,0.007867025029600865,0.00248777175030923,0.14208158368326335,0.0018373008994541358,0.0005810055589351083,0.0
TIA,16,10,0.09448072139303483,0.0013234365637456726,0.00041850738801829456,0.9059441270442818,0.00498073069933572,0.0015750453421824173,0.14407618476304737,0.0023925269271199024,0.0007565834452982567,0.0
TIA,18,10,0.09411536069651741,0.0012374733164544022,0.0003913234223678231,0.9029130215241766,0.00472565770583031,0.0014943841792749745,0.1460257948410318,0.0016524625979790317,0.0005225545557852894,0.0
TIA,20,10,0.09340796019900496,0.0011033081467170494,0.0003488966704645102,0.9081295079033774,0.003433555557169609,0.0010857856033384447,0.14873275344931014,0.002445764360155596,0.0007734185998156051,0.0
Katz,1,10,0.10403451492537312,0.0004703529075685901,0.0001487386491999395,0.8938582712879276,0.0030250008256673135,0.0009565892532998647,0.06640671865626877,0.0003707020724147657,0.00011722628821753342,0.0
Katz,2,10,0.11188588308457711,0.00153833476640316,0.0004864641665657055,0.8858683254848669,0.006439403877281318,0.0020363183025928354,0.0909118176364727,0.0009841049619989757,0.00031120131365902127,0.0
Katz,4,10,0.11480099502487565,0.0014637565044701263,0.0004628804494012037,0.8810946032287527,0.00575232935997196,0.001819046262897,0.11240251949610078,0.0014693999656767718,0.00046466506853118383,0.0
Katz,6,10,0.11514303482587067,0.0015409840414631665,0.00048730194089949546,0.8808839249952178,0.009258088262546992,0.002927664568851944,0.12613977204559088,0.0010518233800299339,0.00033261575771114554,0.0
Katz,8,10,0.11377487562189055,0.001190254480436768,0.00037639151534005124,0.8823615915062841,0.00822138617292777,0.0025998305830266695,0.13323335332933411,0.0014344691829931897,0.000453618985157935,0.0
Katz,10,10,0.11414800995024876,0.0012360807966605065,0.00039088306894426525,0.880993692979047,0.008483966849235757,0.0026828658836947346,0.1398620275944811,0.0010880838120706103,0.000344082313130174,0.0
Katz,12,10,0.11240671641791047,0.0006605300306669156,0.00020887793598483217,0.8883641399149985,0.0027691069897008568,0.0008756685172147129,0.14412117576484704,0.0014751286422395036,0.00046647663512284956,0.0
Katz,14,10,0.11266324626865672,0.0015173723143673888,0.00047983525718819843,0.8845472457589703,0.0064268849825450695,0.0020323594804773915,0.14784793041391722,0.0023950754614329313,0.0007573893626106831,0.0
Katz,16,10,0.11137282338308459,0.0009406094527363175,0.0002974468259331262,0.8878935164047872,0.0035287910571136457,0.0011159017127312441,0.15056988602279545,0.002022928061284934,0.0006397060216329077,0.0
Katz,18,10,0.11219682835820895,0.0013853868227872335,0.00043809778003917174,0.8905842761231145,0.006123096680686683,0.0019362931844386653,0.15225704859028197,0.0018755996267063875,0.000593116679895376,0.0
Katz,20,10,0.11012126865671641,0.0014564724413719374,0.0004605770264001377,0.890871230390722,0.006588608548473704,0.0020835009624432807,0.15362927414517097,0.0011537948040143047,0.0003648619533152789,0.0
GNN-RL,1,10,0.07915111940298507,0.0008556646707597653,0.0002705849272938937,0.9202545357246281,0.0011774451277014673,0.0003723408423404454,0.06417216556688662,0.0004145253437638048,0.00013108442341578977,0.0
GNN-RL,2,10,0.07796952736318409,0.0011608507869300439,0.0003670932510297761,0.9197969668313777,0.002103860372354601,0.0006652990655610483,0.08204109178164366,0.0011063528344979168,0.0003498594852796727,0.0
GNN-RL,4,10,0.07719216417910447,0.001242322683518219,0.0003928569268810095,0.9213156637485842,0.0033650391146529766,0.001064118801785989,0.10002999400119976,0.0011192626368953383,0.00035394192325152805,0.0
GNN-RL,6,10,0.0763292910447761,0.0006825319586209811,0.00021583555650980972,0.9246514248049994,0.001399829182851546,0.00044266485529832007,0.11097030593881223,0.0016354468100507433,0.0005171736911817104,0.0
GNN-RL,8,10,0.07482120646766169,0.0008050495637907349,0.00025457902509037395,0.9232554123113859,0.0039276206261247715,0.0012420226963610907,0.11801139772045592,0.0017307734252400369,0.0005473186137449675,0.0
GNN-RL,10,10,0.0749922263681592,0.0011593141152199955,0.0003666073127678062,0.9240284087281664,0.005011664128852489,0.0015848273514937447,0.12266046790641871,0.0022866860776144284,0.0007231136299058164,0.0
GNN-RL,12,10,0.0752098880597015,0.000790658995016862,0.0002500283276753005,0.9220826720662455,0.005149192379776729,0.00162831760304772,0.12651469706058788,0.001996854994373751,0.0006314609939303767,0.0
GNN-RL,14,10,0.07451026119402986,0.0009153430861856313,0.00028945689928344014,0.9254050051623098,0.0024558767588481927,0.0007766164210632365,0.1313137372525495,0.0020455381057741494,0.0006468559454912736,0.0
