scenario,variant,lambda_eff,n_runs,pc_mean,pc_sem,anc_mean,anc_sem
smuggling,No-Attn,20,30,0.081612685560054,0.0011184435275711255,0.7858644162790008,0.00782099534597242
smuggling,No-Global,20,30,0.08309716599190284,0.0012139655841549078,0.772423814528366,0.007620982655440908
smuggling,No-VNode,20,30,0.08272604588394063,0.0009996226317007693,0.7849081329049782,0.008578946361310942
socialbot,Full,1,30,0.21628488129945858,0.0014756179041638257,0.7098181771880836,0.0017357837557689486
socialbot,No-Attn,1,30,0.23488129945855893,0.0009578511936710454,0.7156890290621404,0.0010961697107577733
socialbot,No-Global,1,30,0.22379564070526173,0.0024590801541150872,0.7105458779841088,0.002873746821504981
socialbot,No-VNode,1,30,0.2547619047619048,0.0035700839688033456,0.706262954085217,0.0037823767233298826
socialbot,Full,10,30,0.18264611967235878,0.0008719282130515654,0.7649798109207101,0.00105586088549902
socialbot,No-Attn,10,30,0.22380258225739272,0.0008302136976457645,0.7460652922968275,0.0010962757751892308
socialbot,No-Global,10,30,0.21543107038733864,0.000929481347308802,0.7624763815699088,0.0009969526565651397
socialbot,No-VNode,10,30,0.21962376787449678,0.0019566186209210436,0.7648813116803932,0.0021467364407222246
socialbot,Full,20,30,0.16457031792308757,0.0011140243244136577,0.7919467664919859,0.001094973142426272
socialbot,No-Attn,20,30,0.220637234485631,0.0009063312177308109,0.7560314514300903,0.0010603874448095062
socialbot,No-Global,20,30,0.1992017215049285,0.0010737521389715264,0.7861550148433117,0.0012068608810118897
socialbot,No-VNode,20,30,0.19698042482299047,0.0015051599760099363,0.7927334379559531,0.0016040804979067051
