config,method,lambda_eff,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
WS-random,Adaptive TIA,8,100,0.3915210688591984,0.10526263347697856,0.010526263347697856,0.7759271520298934,0.03981312828307571,0.003981312828307571,1.0
WS-random,Adaptive TIA,10,100,0.42331963001027745,0.1044176925486527,0.01044176925486527,0.7586201931972445,0.039878656228443034,0.003987865622844303,1.0
WS-random,Adaptive TIA,12,100,0.41327852004111,0.10378713060213593,0.010378713060213592,0.7554992724551056,0.03741353060705569,0.0037413530607055693,1.0
WS-random,Adaptive TIA,14,100,0.41018499486125376,0.10633493998115609,0.010633493998115608,0.7422181584305334,0.035845233225993436,0.0035845233225993436,1.0
WS-random,Adaptive TIA,16,100,0.40504624871531353,0.10054034197775606,0.010054034197775607,0.7460994285722033,0.0342178718716103,0.00342178718716103,1.0
WS-random,Adaptive TIA,18,100,0.42819116135662905,0.09671995650605193,0.009671995650605194,0.7275514401181947,0.03229806604534924,0.003229806604534924,1.0
WS-random,Adaptive TIA,20,100,0.4408016443987667,0.1006372234145439,0.01006372234145439,0.7240950395191246,0.032902274793729244,0.0032902274793729243,1.0
WS-random,GNN-RL,1,100,0.2258170606372045,0.06871440652955316,0.006871440652955316,0.8757755036854935,0.02770950619778996,0.002770950619778996,1.0
WS-random,GNN-RL,2,100,0.23410071942446048,0.0701412428115249,0.007014124281152489,0.8727795633840983,0.02832893922315617,0.002832893922315617,1.0
WS-random,GNN-RL,4,100,0.25252826310380266,0.06965536489943434,0.006965536489943434,0.8654546865900781,0.02890555684272348,0.002890555684272348,1.0
WS-random,GNN-RL,6,100,0.26025693730729704,0.08762523327822151,0.00876252332782215,0.8591284922439779,0.037457497136959936,0.0037457497136959934,1.0
WS-random,GNN-RL,8,100,0.2680883864337102,0.08936247042723973,0.008936247042723973,0.8545864441361698,0.038623062177518576,0.0038623062177518576,1.0
WS-random,GNN-RL,10,100,0.2950565262076054,0.09272418192781434,0.009272418192781434,0.8405279459519938,0.03979833466513132,0.003979833466513132,1.0
WS-random,GNN-RL,12,100,0.2850256937307297,0.09649542438685986,0.009649542438685986,0.845681171572928,0.04070135450238915,0.0040701354502389155,1.0
WS-random,GNN-RL,14,100,0.2893216855087358,0.09649076552640483,0.009649076552640483,0.841374412455904,0.04283011443353501,0.004283011443353501,1.0
WS-random,GNN-RL,16,100,0.2812230215827338,0.09243364878719827,0.009243364878719827,0.8442725909677529,0.039562905963033704,0.003956290596303371,1.0
WS-random,GNN-RL,18,100,0.3096813977389517,0.09294204890650441,0.009294204890650441,0.8287636289402187,0.04137960825503713,0.004137960825503713,1.0
WS-random,GNN-RL,20,100,0.3269886947584789,0.0979385936926427,0.00979385936926427,0.8193194098406279,0.04133667109942487,0.004133667109942487,1.0
WS-localized,Adaptive TD,1,100,0.35072970195272357,0.18721431098986982,0.018721431098986982,0.8106279683613686,0.08922405548267415,0.008922405548267415,1.0
WS-localized,Adaptive TD,2,100,0.4668756423432682,0.1890828360243293,0.018908283602432928,0.7503493839188166,0.08806116653624792,0.008806116653624792,1.0
WS-localized,Adaptive TD,4,100,0.5563001027749229,0.1535502805343932,0.01535502805343932,0.6958128410502319,0.07460885128734854,0.007460885128734854,1.0
WS-localized,Adaptive TD,6,100,0.5694244604316546,0.14795501426807925,0.014795501426807925,0.6818782988634954,0.07078565419515263,0.007078565419515263,1.0
WS-localized,Adaptive TD,8,100,0.584131551901336,0.1357052100076523,0.013570521000765228,0.6677193554752087,0.06500811884919883,0.006500811884919883,1.0
WS-localized,Adaptive TD,10,100,0.6200308324768756,0.1262134884019728,0.01262134884019728,0.6458891874191143,0.057389633866086344,0.0057389633866086346,1.0
WS-localized,Adaptive TD,12,100,0.6076772867420349,0.12231130014974981,0.012231130014974981,0.6439688450544542,0.05215160568457364,0.005215160568457364,1.0
WS-localized,Adaptive TD,14,100,0.6084789311408016,0.11627158959232171,0.011627158959232171,0.6337043180469955,0.045871823228350116,0.004587182322835012,1.0
WS-localized,Adaptive TD,16,100,0.6057142857142856,0.10850038906508763,0.010850038906508763,0.6322394600874236,0.0413377962285285,0.00413377962285285,1.0
