config,base_method,strategy,lambda_eff,n_sims,pc_mean,pc_sem,anc_mean,anc_sem
BA-random,GNN-RL,Batch,16,100,0.15293936279547793,0.004580089113644783,0.8855276938232073,0.0011023356706015637
BA-random,GNN-RL,Batch,18,100,0.15560123329907502,0.004377343109703096,0.8878266090144549,0.0010163570140416136
BA-random,GNN-RL,Batch,20,100,0.16184994861253854,0.004519023528363627,0.8870541767065144,0.0010773187605175659
BA-localized,TD,Fully,1,100,0.25350462487153136,0.010612198539859454,0.8184611751576863,0.004842296784796769
BA-localized,TD,Fully,2,100,0.310513874614594,0.010601975862986657,0.7642842839451296,0.004134124476033847
BA-localized,TD,Fully,4,100,0.3262384378211716,0.011115745831616317,0.7262418997240482,0.003789664216828928
BA-localized,TD,Fully,6,100,0.34991778006166496,0.010398125074290186,0.6989840743527119,0.0026005201674279598
BA-localized,TD,Fully,8,100,0.360688591983556,0.010332436636066266,0.6891043975429416,0.0028900773382651446
BA-localized,TD,Fully,10,100,0.34924974306269263,0.010202225731140185,0.677260356680637,0.0029062814188649906
BA-localized,TD,Fully,12,100,0.3604830421377184,0.00998847871625419,0.6687060690539739,0.0027616232977278566
BA-localized,TD,Fully,14,100,0.3374820143884893,0.009788259648446648,0.6647168789660357,0.002954387222311532
BA-localized,TD,Fully,16,100,0.34285714285714286,0.009888411111026434,0.6702840611704951,0.002264832340325501
BA-localized,TD,Fully,18,100,0.356474820143885,0.00912223841583001,0.6581846659392676,0.0026720653151864502
BA-localized,TD,Fully,20,100,0.35818088386433705,0.008961696241604694,0.658336494397762,0.00282142234457073
BA-localized,TD,Batch,1,100,0.25350462487153136,0.010612198539859454,0.8184611751576863,0.004842296784796769
BA-localized,TD,Batch,2,100,0.310513874614594,0.010601975862986657,0.7642842839451296,0.004134124476033847
BA-localized,TD,Batch,4,100,0.3262384378211716,0.011115745831616317,0.7262418997240482,0.003789664216828928
BA-localized,TD,Batch,6,100,0.34991778006166496,0.010398125074290186,0.6989840743527119,0.0026005201674279598
BA-localized,TD,Batch,8,100,0.360688591983556,0.010332436636066266,0.6891043975429416,0.0028900773382651446
BA-localized,TD,Batch,10,100,0.34924974306269263,0.010202225731140185,0.677260356680637,0.0029062814188649906
BA-localized,TD,Batch,12,100,0.3604830421377184,0.00998847871625419,0.6687060690539739,0.0027616232977278566
BA-localized,TD,Batch,14,100,0.3374820143884893,0.009788259648446648,0.6647168789660357,0.002954387222311532
BA-localized,TD,Batch,16,100,0.34285714285714286,0.009888411111026434,0.6702840611704951,0.002264832340325501
BA-localized,TD,Batch,18,100,0.356474820143885,0.00912223841583001,0.6581846659392676,0.0026720653151864502
BA-localized,TD,Batch,20,100,0.35818088386433705,0.008961696241604694,0.658336494397762,0.00282142234457073
BA-localized,Katz,Fully,1,100,0.23088386433710173,0.008666021174566097,0.8332009775148924,0.003638078610300179
BA-localized,Katz,Fully,2,100,0.2685919835560123,0.009029608674105852,0.7955161941088386,0.0032060077978661892
BA-localized,Katz,Fully,4,100,0.27747173689619736,0.009082582033326413,0.7635409976533897,0.002229969078119783
BA-localized,Katz,Fully,6,100,0.2936793422404933,0.008891645083913425,0.7452019271673527,0.0018171634373854273
BA-localized,Katz,Fully,8,100,0.3061151079136691,0.008368042211496195,0.7354639658842657,0.0018615661310716802
BA-localized,Katz,Fully,10,100,0.2909660842754368,0.008747793022152731,0.7316821625365532,0.0018998316123395142
BA-localized,Katz,Fully,12,100,0.30163412127440903,0.008327768926349314,0.7207319289995202,0.002221745360423516
BA-localized,Katz,Fully,14,100,0.2859403905447071,0.00814402367077203,0.7113388811758636,0.002941705765250489
BA-localized,Katz,Fully,16,100,0.29135662898252823,0.008312775990975746,0.7139851886584058,0.002551600429814291
BA-localized,Katz,Fully,18,100,0.3008941418293936,0.007724406977816477,0.7113267337773324,0.0027860580179303934
BA-localized,Katz,Fully,20,100,0.3015210688591983,0.007534050720153297,0.7103585091926451,0.0028532069328169054
BA-localized,Katz,Batch,1,100,0.26144912641315515,0.010029346500466657,0.8130768546455155,0.004349128071880605
BA-localized,Katz,Batch,2,100,0.30078108941418297,0.00915311201679086,0.7745067098686931,0.0031638164401283286
BA-localized,Katz,Batch,4,100,0.30146968139773894,0.009171924049310057,0.7471365459893846,0.002225178760757648
BA-localized,Katz,Batch,6,100,0.31572456320657766,0.008911812630475285,0.7293090454123664,0.0018230776218493626
BA-localized,Katz,Batch,8,100,0.32236382322713253,0.008764468268139317,0.7250739894342021,0.0023503385680796983
BA-localized,Katz,Batch,10,100,0.30872559095580676,0.008828035592949243,0.7180227318934628,0.002352532919406274
BA-localized,Katz,Batch,12,100,0.3154059609455293,0.008750666325370967,0.7116409752596132,0.002089408800245995
BA-localized,Katz,Batch,14,100,0.29587872559095585,0.008371090278210366,0.706893103403881,0.0027411302279103334
BA-localized,Katz,Batch,16,100,0.3042548818088386,0.008199789132609048,0.7035607980919675,0.002634173772435714
BA-localized,Katz,Batch,18,100,0.306546762589928,0.007610035149584274,0.7050992147946434,0.0030958183682772674
BA-localized,Katz,Batch,20,100,0.3085097636176773,0.0075959412441806515,0.7051052666977958,0.002795887329149827
BA-localized,TIA,Fully,1,100,0.1785611510791367,0.007548559152706745,0.8640562919694732,0.003741373734297527
BA-localized,TIA,Fully,2,100,0.21142857142857147,0.0075804442248269144,0.8289601588961495,0.0029350683529003854
BA-localized,TIA,Fully,4,100,0.2233299075025694,0.0076618481012505225,0.7883745492617054,0.0020482157551617044
BA-localized,TIA,Fully,6,100,0.240174717368962,0.007696540738634393,0.7665864960062498,0.0018515554749273136
BA-localized,TIA,Fully,8,100,0.25269270298047275,0.007284859590115959,0.7483701075092959,0.0026788529809756286
BA-localized,TIA,Fully,10,100,0.24364850976361765,0.007721116209446266,0.73700149536087,0.0026641880545271485
BA-localized,TIA,Fully,12,100,0.2521479958890031,0.0076249742501656404,0.7299561827787646,0.0030528290811546073
BA-localized,TIA,Fully,14,100,0.2390647482014388,0.007499427674296978,0.7140037816449792,0.0033497869498343943
BA-localized,TIA,Fully,16,100,0.24531346351490238,0.0073147692435713545,0.7159860109008765,0.00353972081017656
BA-localized,TIA,Fully,18,100,0.2582425488180884,0.007013480848858689,0.702108159002393,0.0035135624750509973
BA-localized,TIA,Fully,20,100,0.2592908530318602,0.007167035538469318,0.7071303324861397,0.0029236535201970634
BA-localized,TIA,Batch,1,100,0.17843782117163415,0.007556421352693493,0.8643612962416996,0.0037398560946197783
BA-localized,TIA,Batch,2,100,0.21126413155190132,0.007535067657089926,0.8287178449219164,0.002889954033569371
BA-localized,TIA,Batch,4,100,0.22297019527235354,0.007625502783452737,0.7889305701074575,0.0020062661361876315
BA-localized,TIA,Batch,6,100,0.24085303186022614,0.0076989651021680105,0.7650809416216771,0.00184812993595127
BA-localized,TIA,Batch,8,100,0.25331963001027746,0.007423672221109215,0.7480480763342614,0.002284634486178265
BA-localized,TIA,Batch,10,100,0.24238437821171632,0.007677220976809282,0.7401694242474539,0.0024223369157774957
BA-localized,TIA,Batch,12,100,0.2533812949640287,0.007663680327874981,0.7269746526213016,0.0027933246792181325
BA-localized,TIA,Batch,14,100,0.23941418293936276,0.007487565774807846,0.713613637764505,0.003187418123443559
BA-localized,TIA,Batch,16,100,0.2448715313463515,0.007518414050604769,0.7185258646951211,0.0029783804738736227
BA-localized,TIA,Batch,18,100,0.256639260020555,0.0070000556802168965,0.7064918361227395,0.0034103477889537307
BA-localized,TIA,Batch,20,100,0.258879753340185,0.007199952147944848,0.7094757665852057,0.0029412516629514535
BA-localized,GNN-RL,Fully,1,100,0.14940390544707094,0.004927082864086133,0.8914185677404123,0.0020642899822487957
BA-localized,GNN-RL,Fully,2,100,0.15285714285714286,0.004290304781856722,0.8901471541489293,0.0014239561542631594
BA-localized,GNN-RL,Fully,4,100,0.14439876670092497,0.004121556325624384,0.8904162241173533,0.0009598002411399913
BA-localized,GNN-RL,Fully,6,100,0.14527235354573484,0.003926819192524983,0.89155393432264,0.0008807899074633151
BA-localized,GNN-RL,Fully,8,100,0.1479136690647482,0.00375266921752953,0.892428485507197,0.0008466513168482353
BA-localized,GNN-RL,Fully,10,100,0.14051387461459405,0.003782622067375142,0.8938567950736678,0.0008024521570017878
BA-localized,GNN-RL,Fully,12,100,0.1438540596094553,0.0038143055572462566,0.8935250453257033,0.0008427775809134108
BA-localized,GNN-RL,Fully,14,100,0.1351387461459404,0.0037257715517769463,0.8956417872102408,0.0008795891069715844
BA-localized,GNN-RL,Fully,16,100,0.13873586844809865,0.0035826900316263304,0.8940488317289882,0.0008156980324183412
BA-localized,GNN-RL,Fully,18,100,0.14336073997944504,0.003645120815083854,0.8953393457985749,0.0008859400033179212
BA-localized,GNN-RL,Fully,20,100,0.1440184994861254,0.0035770886851094834,0.8956692870003242,0.0009098191357014335
BA-localized,GNN-RL,Batch,1,100,0.17601233299075025,0.006358448178991487,0.8679992865356211,0.0028536778149095264
BA-localized,GNN-RL,Batch,2,100,0.1801336073997944,0.005489428956862757,0.8689610226520756,0.0017380798654340272
BA-localized,GNN-RL,Batch,4,100,0.16637204522096607,0.005319141528981221,0.8740364084374695,0.001471168504572182
BA-localized,GNN-RL,Batch,6,100,0.1674409044193217,0.0050759717675564284,0.8759454721073303,0.0011648622905967702
BA-localized,GNN-RL,Batch,8,100,0.16930113052415216,0.00466647622008893,0.8770403779056075,0.0010589992061741638
BA-localized,GNN-RL,Batch,10,100,0.16101747173689618,0.00496525330724639,0.8796025555308336,0.0011423583912152477
BA-localized,GNN-RL,Batch,12,100,0.16256937307297017,0.00466657864346334,0.8810521820593012,0.0010640931236501326
BA-localized,GNN-RL,Batch,14,100,0.15095580678314494,0.004688931250180763,0.8847905378929438,0.0011308538515491938
BA-localized,GNN-RL,Batch,16,100,0.15554984583761564,0.0046955291151093165,0.8843593260253239,0.0010860829621090345
BA-localized,GNN-RL,Batch,18,100,0.15709146968139776,0.004323304429918437,0.8881330222579449,0.0010896852944916225
BA-localized,GNN-RL,Batch,20,100,0.15610483042137718,0.00430294178102828,0.8887249832000671,0.001106164362481928
WS-random,TD,Fully,1,100,0.47109969167523125,0.014293769716399984,0.7532164726008503,0.006435526397775072
WS-random,TD,Fully,2,100,0.528705035971223,0.014618837803169835,0.7200468903572328,0.006873028413011696
WS-random,TD,Fully,4,100,0.5615313463514902,0.01529566866509648,0.6923184302403017,0.007285088322062078
WS-random,TD,Fully,6,100,0.603103802672148,0.012984808279794636,0.6646240404072329,0.005827498585551835
WS-random,TD,Fully,8,100,0.5900616649537513,0.011722629125348246,0.6603505750478728,0.005359449297266874
WS-random,TD,Fully,10,100,0.608705035971223,0.012129477549473102,0.6483614120428227,0.005134653413508703
WS-random,TD,Fully,12,100,0.6115519013360741,0.01079276572933638,0.6395447282782007,0.004422944698886459
WS-random,TD,Fully,14,100,0.6019938335046249,0.010977551313380785,0.6349030537765694,0.003962076721348951
WS-random,TD,Fully,16,100,0.6075231243576568,0.011004735240638858,0.630223635736375,0.004060467226736751
WS-random,TD,Fully,18,100,0.6045632065775951,0.009372837666760302,0.6198980387958796,0.0031756303564572435
WS-random,TD,Fully,20,100,0.6246865364850976,0.010113411494389721,0.6182945699055883,0.0034718282591434863
WS-random,TD,Batch,1,100,0.47109969167523125,0.014293769716399984,0.7532164726008503,0.006435526397775072
WS-random,TD,Batch,2,100,0.528705035971223,0.014618837803169835,0.7200468903572328,0.006873028413011696
WS-random,TD,Batch,4,100,0.5615313463514902,0.01529566866509648,0.6923184302403017,0.007285088322062078
WS-random,TD,Batch,6,100,0.603103802672148,0.012984808279794636,0.6646240404072329,0.005827498585551835
WS-random,TD,Batch,8,100,0.5900616649537513,0.011722629125348246,0.6603505750478728,0.005359449297266874
WS-random,TD,Batch,10,100,0.608705035971223,0.012129477549473102,0.6483614120428227,0.005134653413508703
WS-random,TD,Batch,12,100,0.6115519013360741,0.01079276572933638,0.6395447282782007,0.004422944698886459
WS-random,TD,Batch,14,100,0.6019938335046249,0.010977551313380785,0.6349030537765694,0.003962076721348951
WS-random,TD,Batch,16,100,0.6075231243576568,0.011004735240638858,0.630223635736375,0.004060467226736751
WS-random,TD,Batch,18,100,0.6045632065775951,0.009372837666760302,0.6198980387958796,0.0031756303564572435
WS-random,TD,Batch,20,100,0.6246865364850976,0.010113411494389721,0.6182945699055883,0.0034718282591434863
WS-random,Katz,Fully,1,100,0.4284686536485098,0.013239209308758793,0.7774117069195512,0.005924291906203128
WS-random,Katz,Fully,2,100,0.4793525179856115,0.013434204658379387,0.7472721038080339,0.006057051079421566
WS-random,Katz,Fully,4,100,0.5042651593011306,0.013149001105489907,0.7274059399656572,0.005774849702782133
WS-random,Katz,Fully,6,100,0.5332476875642344,0.012519423154378257,0.7098470065223205,0.0052485628962306964
WS-random,Katz,Fully,8,100,0.5186433710174717,0.011284588441232491,0.7105410623590874,0.004534679431797018
WS-random,Katz,Fully,10,100,0.5384069886947584,0.011739952543380854,0.699995824503901,0.004521381002666858
WS-random,Katz,Fully,12,100,0.5391058581706063,0.011169212218721252,0.6977306432717906,0.004236916300411801
WS-random,Katz,Fully,14,100,0.5236587872559095,0.011179251996140793,0.6999983016456858,0.0038981291460069172
WS-random,Katz,Fully,16,100,0.5368653648509764,0.011112223664663122,0.6929257311560951,0.003917701124912961
WS-random,Katz,Fully,18,100,0.5239465570400822,0.010163935861771441,0.6947275185219915,0.0033460713090729664
WS-random,Katz,Fully,20,100,0.5414388489208632,0.010724004307203536,0.6919580305437026,0.0036553639702331013
WS-random,Katz,Batch,1,100,0.5080472764645425,0.014837638473298193,0.7347131925633008,0.006696689789355156
WS-random,Katz,Batch,2,100,0.5550256937307299,0.013396197081450808,0.7049655609392097,0.006049273121574295
WS-random,Katz,Batch,4,100,0.5685817060637204,0.01255416490680263,0.6861858955398268,0.005262370362924536
WS-random,Katz,Batch,6,100,0.5803699897225078,0.012093595533352855,0.6810295424935012,0.004938679310759108
WS-random,Katz,Batch,8,100,0.5640390544707092,0.011017344178289352,0.6809737239266817,0.004447153689307158
WS-random,Katz,Batch,10,100,0.5759609455292909,0.011092400778165853,0.6749561956096253,0.003948214878186813
WS-random,Katz,Batch,12,100,0.5718602261048304,0.010866806054114756,0.6757663970339628,0.004042108090375496
WS-random,Katz,Batch,14,100,0.5486536485097636,0.011046709605520242,0.6812284847317385,0.0037965732174671135
WS-random,Katz,Batch,16,100,0.561305241521069,0.010981752999668972,0.6768453488412978,0.003721639472919958
WS-random,Katz,Batch,18,100,0.5417677286742034,0.010112342365968951,0.6815226487324232,0.003446147225054207
WS-random,Katz,Batch,20,100,0.562929085303186,0.010661102437962101,0.6757487963535445,0.003717771790137888
WS-random,TIA,Fully,1,100,0.3057142857142857,0.009383540926238224,0.8440816310580067,0.0038601569624008764
WS-random,TIA,Fully,2,100,0.33903391572456315,0.00968636370173661,0.8250645432847736,0.0039350308671795495
WS-random,TIA,Fully,4,100,0.36472764645426514,0.011039034137694312,0.8048152996699385,0.004428793507133674
WS-random,TIA,Fully,6,100,0.3989105858170607,0.011056069548117596,0.7824717703678117,0.004349822200052455
WS-random,TIA,Fully,8,100,0.3870914696813978,0.010177047912729748,0.7796149337405978,0.003946582220282668
WS-random,TIA,Fully,10,100,0.40669064748201444,0.010892729018901724,0.765663929173996,0.003986242201343152
WS-random,TIA,Fully,12,100,0.4113155190133607,0.010208528072803,0.754557587166289,0.003883871466158618
WS-random,TIA,Fully,14,100,0.4021993833504625,0.010653365344530416,0.7489523497323798,0.0038641486054570226
WS-random,TIA,Fully,16,100,0.4063617677286742,0.010215319602917505,0.7459956584253692,0.0032420993168186807
WS-random,TIA,Fully,18,100,0.39976361767728674,0.0097109789456994,0.7342890770787354,0.003261210403051344
WS-random,TIA,Fully,20,100,0.42230215827338136,0.010034312110231838,0.727271729252531,0.003354813007817662
WS-random,TIA,Batch,1,100,0.3045426515930113,0.009203503012374246,0.8445971418920099,0.0037720673744309533
WS-random,TIA,Batch,2,100,0.3355806783144913,0.009453544232596863,0.8273469870484369,0.0038280282416991427
WS-random,TIA,Batch,4,100,0.36505652620760537,0.01086216680866527,0.803783658948141,0.004188199441119689
WS-random,TIA,Batch,6,100,0.3975334018499487,0.011208603126104333,0.783837645082275,0.004577354635273552
WS-random,TIA,Batch,8,100,0.3858376156217883,0.010334059946674261,0.7808618841623162,0.00401703705013491
WS-random,TIA,Batch,10,100,0.40739979445015406,0.010957609534505457,0.7648745983878901,0.004133148126013882
WS-random,TIA,Batch,12,100,0.4114491264131551,0.010210461988091456,0.7549593919222017,0.003850882789505704
WS-random,TIA,Batch,14,100,0.4040904419321686,0.010566035658971634,0.7459381906333037,0.003888968344843208
