config,method,n_nodes,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
WS-random,Adaptive TD,2048,100,0.6176207605344296,0.11033271866740038,0.011033271866740038,0.6254018651610327,0.03724475491426148,0.0037244754914261477,1.0
WS-random,Adaptive TD,4096,100,0.600955806783145,0.11568720132042509,0.01156872013204251,0.6340028005899204,0.041983046319155504,0.00419830463191555,1.0
WS-random,Adaptive TD,8192,100,0.593899524604908,0.1136578517751212,0.01136578517751212,0.6349248866968441,0.04276814562430875,0.004276814562430875,1.0
WS-random,Adaptive TD,16384,100,0.6142852553806617,0.10762032066463437,0.010762032066463437,0.6276814896245992,0.03862905900291652,0.0038629059002916522,1.0
WS-random,Adaptive Katz,32,100,0.327741935483871,0.1608199593123173,0.01608199593123173,0.8165919745298131,0.07501476841274637,0.007501476841274638,1.0
WS-random,Adaptive Katz,64,100,0.46868852459016386,0.15057169564059458,0.015057169564059458,0.7416857143863947,0.0701851324549363,0.007018513245493629,1.0
WS-random,Adaptive Katz,128,100,0.5123770491803279,0.12466291555812753,0.012466291555812753,0.7190655557554062,0.057397750272383675,0.005739775027238368,1.0
WS-random,Adaptive Katz,256,100,0.5179918032786887,0.11209880986824967,0.011209880986824967,0.7090653700068095,0.043118088604782306,0.004311808860478231,1.0
WS-random,Adaptive Katz,512,100,0.5306776180698152,0.10902246281412802,0.010902246281412802,0.6979102026213511,0.03808145239961152,0.003808145239961152,1.0
WS-random,Adaptive Katz,1024,100,0.5647070914696815,0.1052569181150832,0.010525691811508319,0.6824855194695952,0.03541805370038439,0.0035418053700384386,1.0
WS-random,Adaptive Katz,2048,100,0.5514131551901336,0.10922219375860667,0.010922219375860668,0.6866985159116886,0.036929968942625235,0.0036929968942625234,1.0
WS-random,Adaptive Katz,4096,100,0.538707605344296,0.11474056886401797,0.011474056886401797,0.6903302832035615,0.037916897568290045,0.0037916897568290044,1.0
WS-random,Adaptive Katz,8192,100,0.5385699601696003,0.10666095968082787,0.010666095968082786,0.688683995327594,0.03556618931875519,0.0035566189318755187,1.0
WS-random,Adaptive Katz,16384,100,0.5565467394796016,0.10307395916855877,0.010307395916855876,0.6831516083468334,0.03383014524590554,0.003383014524590554,1.0
WS-random,Adaptive TIA,32,100,0.27064516129032257,0.12333342707948926,0.012333342707948926,0.8391845356951056,0.056915999780637376,0.005691599978063738,1.0
WS-random,Adaptive TIA,64,100,0.3539344262295082,0.1304509162404426,0.01304509162404426,0.8027995193362167,0.06264321520240552,0.006264321520240553,1.0
WS-random,Adaptive TIA,128,100,0.3764754098360657,0.10367640698972636,0.010367640698972636,0.7880089442327903,0.05114095074414211,0.005114095074414211,1.0
WS-random,Adaptive TIA,256,100,0.39213114754098355,0.10081614014871505,0.010081614014871506,0.7628008426988859,0.04081066116487913,0.004081066116487913,1.0
WS-random,Adaptive TIA,512,100,0.411047227926078,0.10011751798470804,0.010011751798470804,0.7384863510234058,0.03377859728032093,0.0033778597280320925,1.0
WS-random,Adaptive TIA,1024,100,0.44050359712230225,0.0995420513943532,0.00995420513943532,0.7255022071793329,0.030612137145174332,0.003061213714517433,1.0
WS-random,Adaptive TIA,2048,100,0.4265416238437821,0.10303508630862113,0.010303508630862112,0.7310408860072737,0.0329546608324375,0.00329546608324375,1.0
WS-random,Adaptive TIA,4096,100,0.41767728674203497,0.10766928354764942,0.010766928354764942,0.73517488276775,0.03378108877086625,0.0033781088770866246,1.0
WS-random,Adaptive TIA,8192,100,0.413871257869716,0.10135887460792986,0.010135887460792987,0.7318799829425232,0.03175664269055254,0.003175664269055254,1.0
WS-random,Adaptive TIA,16384,100,0.4334539029874719,0.0989461036179292,0.00989461036179292,0.7275278379372035,0.03120494558791614,0.0031204945587916142,1.0
WS-random,GNN-RL,32,100,0.25387096774193546,0.11858118922968308,0.011858118922968309,0.8456181699479035,0.0552554312455657,0.00552554312455657,1.0
WS-random,GNN-RL,64,100,0.2829508196721311,0.11098300118487582,0.011098300118487583,0.8358376644550113,0.052681167182100884,0.005268116718210088,1.0
WS-random,GNN-RL,128,100,0.2817213114754098,0.08957073867369858,0.008957073867369858,0.8414095869127639,0.043487103386406996,0.004348710338640699,1.0
WS-random,GNN-RL,256,100,0.289672131147541,0.09657337950837926,0.009657337950837926,0.8389217922197626,0.042983894724847795,0.004298389472484779,1.0
WS-random,GNN-RL,512,100,0.3089733059548254,0.09664128979999305,0.009664128979999305,0.8278618121163371,0.04337907860241998,0.0043379078602419985,1.0
WS-random,GNN-RL,1024,100,0.3239979445015416,0.09808415376868082,0.009808415376868083,0.8221647140478742,0.041905355486664124,0.004190535548666412,1.0
WS-random,GNN-RL,2048,100,0.29984583761562184,0.09669095390548589,0.009669095390548589,0.8344490268562985,0.041493711723303586,0.004149371172330359,1.0
WS-random,GNN-RL,4096,100,0.29234840698869474,0.0967085837730725,0.009670858377307249,0.838017867888285,0.04162131173327925,0.004162131173327925,1.0
WS-random,GNN-RL,8192,100,0.2837067968649621,0.09014004958440043,0.009014004958440043,0.8407566763085963,0.03840636736179033,0.0038406367361790332,1.0
WS-random,GNN-RL,16384,100,0.3012238997751366,0.08901195164178816,0.008901195164178815,0.833131458768856,0.038597562303391786,0.0038597562303391785,1.0
WS-localized,Adaptive TD,32,100,0.5619354838709677,0.20021736367238713,0.020021736367238713,0.6892725517724552,0.10285842848853376,0.010285842848853376,0.99
WS-localized,Adaptive TD,64,100,0.6432786885245902,0.1528923860055436,0.015289238600554362,0.6436123106942278,0.07726814651894863,0.007726814651894863,0.99
WS-localized,Adaptive TD,128,100,0.642049180327869,0.1265965230802428,0.01265965230802428,0.631635455349527,0.0615979342342429,0.006159793423424291,1.0
WS-localized,Adaptive TD,256,100,0.6333196721311476,0.10369007158827823,0.010369007158827822,0.6274560974490458,0.045518894998266404,0.00455188949982664,1.0
WS-localized,Adaptive TD,512,100,0.6352566735112937,0.09803187649902635,0.009803187649902635,0.6134712195363613,0.037739212337986563,0.003773921233798656,1.0
WS-localized,Adaptive TD,1024,100,0.64207605344296,0.1014085554718711,0.010140855547187109,0.6151841240715376,0.035948982555340514,0.0035948982555340514,1.0
WS-localized,Adaptive TD,2048,100,0.6102415210688593,0.11270556563168041,0.011270556563168041,0.6312020573253232,0.04215451248219827,0.004215451248219827,1.0
WS-localized,Adaptive TD,4096,100,0.598198869475848,0.11729292313143318,0.011729292313143317,0.636228514226445,0.04416930161823897,0.004416930161823897,1.0
WS-localized,Adaptive TD,8192,100,0.5912116150584609,0.11627499792334407,0.011627499792334408,0.6378704047387305,0.04606462817904058,0.004606462817904057,1.0
WS-localized,Adaptive TD,16384,100,0.6122730485062641,0.11142347463588227,0.011142347463588227,0.6303368312443222,0.04282043451755788,0.004282043451755788,1.0
