config,method,tau,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
BA-localized,GNN-RL,0.1,100,0.14876670092497432,0.043975989219364804,0.00439759892193648,0.8908442160867258,0.01080125358440338,0.001080125358440338,1.0
BA-localized,GNN-RL,0.2,100,0.15061664953751286,0.04001215976294174,0.004001215976294175,0.8917919094123153,0.011085356316838463,0.0011085356316838462,1.0
BA-localized,GNN-RL,0.5,100,0.15025693730729703,0.03567903648408358,0.003567903648408358,0.8931362257690995,0.008225847874838411,0.0008225847874838412,1.0
BA-localized,GNN-RL,1.0,100,0.14436793422404934,0.03477635358580217,0.0034776353585802165,0.8934331624365021,0.007990961179447595,0.0007990961179447595,1.0
BA-localized,GNN-RL,2.0,100,0.14163412127440908,0.036726383948357796,0.0036726383948357797,0.8926680619454566,0.008428962055518222,0.0008428962055518222,1.0
BA-localized,GNN-RL,5.0,100,0.15103802672147995,0.03776665045623609,0.003776665045623609,0.8911465884248321,0.008355820195646136,0.0008355820195646137,1.0
BA-localized,GNN-RL,10.0,100,0.14618705035971225,0.03716734556124178,0.003716734556124178,0.8926134824385236,0.008043564907125043,0.0008043564907125043,1.0
BA-localized,GNN-RL,20.0,100,0.14149023638232272,0.041064223005774794,0.00410642230057748,0.8921625356263988,0.0081796325507034,0.0008179632550703401,1.0
BA-localized,GNN-RL,50.0,100,0.13933196300102774,0.037044124270568635,0.0037044124270568636,0.893379082749832,0.008791018302999191,0.0008791018302999191,1.0
BA-localized,GNN-RL,100.0,100,0.1459403905447071,0.03525943843454973,0.0035259438434549727,0.8918890223491264,0.007659576651562979,0.0007659576651562979,1.0
BA-localized,GNN-RL,200.0,100,0.14762589928057554,0.036125208509856815,0.0036125208509856814,0.893191483770197,0.00776567258984342,0.000776567258984342,1.0
BA-localized,GNN-RL,500.0,100,0.13918807810894143,0.038557243407059114,0.0038557243407059114,0.8933709114235122,0.008288496488894383,0.0008288496488894383,1.0
WS-random,Adaptive TD,0.1,100,0.4788283658787256,0.15253200917292511,0.01525320091729251,0.7499140713179889,0.07140770911533018,0.007140770911533018,1.0
WS-random,Adaptive TD,0.2,100,0.4961048304213772,0.14455915244240428,0.014455915244240428,0.741541434865435,0.0672657960342123,0.00672657960342123,1.0
WS-random,Adaptive TD,0.5,100,0.5574409044193217,0.13319335758299242,0.013319335758299241,0.704879007181113,0.0654620650069049,0.00654620650069049,1.0
WS-random,Adaptive TD,1.0,100,0.5738540596094553,0.1408699334027325,0.01408699334027325,0.6850520197441444,0.07003507811030482,0.007003507811030482,1.0
WS-random,Adaptive TD,2.0,100,0.5925077081192189,0.12792530482690959,0.012792530482690958,0.664895284795412,0.058423223035733246,0.005842322303573325,1.0
WS-random,Adaptive TD,5.0,100,0.6271325796505652,0.1174279842163593,0.01174279842163593,0.6387625208033338,0.0518062126348359,0.005180621263483591,1.0
WS-random,Adaptive TD,10.0,100,0.6088591983556012,0.1212618820502465,0.01212618820502465,0.6475606631357465,0.05125835852731572,0.0051258358527315724,1.0
WS-random,Adaptive TD,20.0,100,0.5969578622816033,0.1228352292273428,0.01228352292273428,0.6530238411709135,0.05323119181968228,0.005323119181968228,1.0
WS-random,Adaptive TD,50.0,100,0.5887667009249743,0.11932426636185636,0.011932426636185637,0.6566889255576139,0.0508387351154205,0.00508387351154205,1.0
WS-random,Adaptive TD,100.0,100,0.616032887975334,0.1104937015341192,0.011049370153411921,0.6425176518726555,0.04799025293059552,0.0047990252930595525,1.0
WS-random,Adaptive TD,200.0,100,0.6214902363823227,0.11546590336591733,0.011546590336591733,0.6435120068125376,0.04715058170813924,0.004715058170813924,1.0
WS-random,Adaptive TD,500.0,100,0.5919116135662899,0.12694639786320291,0.01269463978632029,0.6539877852011808,0.056513938841820086,0.005651393884182008,1.0
WS-random,Adaptive Katz,0.1,100,0.4057040082219939,0.13316024271505134,0.013316024271505134,0.7864703562223734,0.06018240551613095,0.006018240551613095,1.0
WS-random,Adaptive Katz,0.2,100,0.41950668036998967,0.12721471323734423,0.012721471323734423,0.7808805643855494,0.057606058866267684,0.005760605886626769,1.0
WS-random,Adaptive Katz,0.5,100,0.48154162384378213,0.12619182154382896,0.012619182154382897,0.7462183423437547,0.05780910790022208,0.0057809107900222085,1.0
WS-random,Adaptive Katz,1.0,100,0.5020349434737924,0.13142606070034202,0.013142606070034202,0.7302287566443549,0.059964693939919225,0.005996469393991922,1.0
WS-random,Adaptive Katz,2.0,100,0.5168242548818087,0.12136701526353728,0.012136701526353728,0.7152891758484077,0.05048358533345624,0.005048358533345624,1.0
WS-random,Adaptive Katz,5.0,100,0.5496197327852004,0.11307124761391035,0.011307124761391035,0.6995888462823256,0.045627336857555795,0.004562733685755579,1.0
WS-random,Adaptive Katz,10.0,100,0.5390339157245632,0.11641722319857332,0.011641722319857332,0.7006794070479515,0.04651261608459886,0.004651261608459886,1.0
WS-random,Adaptive Katz,20.0,100,0.5244707091469683,0.1228939446783706,0.01228939446783706,0.7065955091420328,0.0480961418120989,0.004809614181209889,1.0
WS-random,Adaptive Katz,50.0,100,0.5221582733812951,0.11261335089214751,0.011261335089214751,0.70648650260918,0.043303657833136555,0.004330365783313655,1.0
WS-random,Adaptive Katz,100.0,100,0.5388283658787256,0.10961590732520136,0.010961590732520137,0.7016477464751223,0.04239881715615002,0.004239881715615002,1.0
WS-random,Adaptive Katz,200.0,100,0.5497636176772868,0.10952351612571146,0.010952351612571146,0.6969385101933134,0.04130405190564708,0.004130405190564708,1.0
WS-random,Adaptive Katz,500.0,100,0.5212538540596094,0.11495781764478454,0.011495781764478453,0.7060070249755962,0.04322092702725176,0.004322092702725176,1.0
WS-random,Adaptive TIA,0.1,100,0.31700924974306266,0.1020844612484866,0.010208446124848659,0.8320503002456314,0.04122715902803292,0.004122715902803292,1.0
WS-random,Adaptive TIA,0.2,100,0.3315724563206578,0.10068237462735934,0.010068237462735934,0.824315178727311,0.04064156794326084,0.004064156794326084,1.0
WS-random,Adaptive TIA,0.5,100,0.36551901336074005,0.09502578209978198,0.009502578209978197,0.8048380112469101,0.03892109132083635,0.0038921091320836348,1.0
WS-random,Adaptive TIA,1.0,100,0.380945529290853,0.10885870349788009,0.010885870349788008,0.7879482021686123,0.04373940211701969,0.004373940211701969,1.0
WS-random,Adaptive TIA,2.0,100,0.3934121274409045,0.10608595564711104,0.010608595564711104,0.7744996315623236,0.03949985337651672,0.003949985337651672,1.0
WS-random,Adaptive TIA,5.0,100,0.4217882836587873,0.10525757842557962,0.010525757842557961,0.7609817887593615,0.03924687486558644,0.003924687486558644,1.0
WS-random,Adaptive TIA,10.0,100,0.4053854059609456,0.10861576722788423,0.010861576722788422,0.7673092378949046,0.04110464806289651,0.004110464806289651,1.0
WS-random,Adaptive TIA,20.0,100,0.3937923946557039,0.109090893983068,0.0109090893983068,0.7706898125518465,0.04135844183731602,0.004135844183731602,1.0
WS-random,Adaptive TIA,50.0,100,0.3900924974306269,0.10509029313140733,0.010509029313140733,0.7699465425454309,0.03975269057014141,0.003975269057014141,1.0
WS-random,Adaptive TIA,100.0,100,0.410082219938335,0.10176020087479594,0.010176020087479594,0.7640565729681194,0.039140703735000816,0.003914070373500082,1.0
WS-random,Adaptive TIA,200.0,100,0.4194964028776978,0.10780957687082804,0.010780957687082805,0.762755678312291,0.039494574432168125,0.003949457443216812,1.0
WS-random,Adaptive TIA,500.0,100,0.3902980472764645,0.10957061220987957,0.010957061220987958,0.773515389072695,0.03993421292098348,0.003993421292098348,1.0
WS-random,GNN-RL,0.1,100,0.23355601233299073,0.07272346210889978,0.007272346210889978,0.8715663155272618,0.02881134811253647,0.002881134811253647,1.0
WS-random,GNN-RL,0.2,100,0.2404830421377184,0.07123414280009878,0.007123414280009878,0.8687998911544293,0.02837630914716878,0.002837630914716878,1.0
WS-random,GNN-RL,0.5,100,0.25174717368961974,0.06630748985862706,0.006630748985862705,0.8635563831942379,0.02720419514387106,0.0027204195143871062,1.0
WS-random,GNN-RL,1.0,100,0.2639979445015416,0.08502358304825193,0.008502358304825193,0.8565606383375401,0.036451508343874575,0.0036451508343874573,1.0
WS-random,GNN-RL,2.0,100,0.2725488180883864,0.08795248224019643,0.008795248224019643,0.8518321585285061,0.037897816152077525,0.0037897816152077527,1.0
WS-random,GNN-RL,5.0,100,0.2956628982528263,0.09247183384553892,0.009247183384553891,0.8415284272620065,0.03972534754588315,0.003972534754588315,1.0
WS-random,GNN-RL,10.0,100,0.279907502569373,0.09373122272728739,0.009373122272728738,0.8491714636336014,0.04024026921427336,0.0040240269214273355,1.0
WS-random,GNN-RL,20.0,100,0.2721685508735868,0.09432458015599825,0.009432458015599825,0.8529046010050929,0.03958779349754091,0.003958779349754091,1.0
WS-random,GNN-RL,50.0,100,0.2663720452209661,0.08827311505378536,0.008827311505378537,0.8541876868658652,0.03748389041691701,0.003748389041691701,1.0
WS-random,GNN-RL,100.0,100,0.2815416238437821,0.08893194549013692,0.008893194549013692,0.8484556994729742,0.038808481622629246,0.0038808481622629246,1.0
WS-random,GNN-RL,200.0,100,0.2973689619732785,0.09663075336265509,0.009663075336265509,0.8409093494817048,0.04176270861395829,0.004176270861395829,1.0
WS-random,GNN-RL,500.0,100,0.27029804727646456,0.09489426302384908,0.009489426302384908,0.8520167132626715,0.041245288827987225,0.004124528882798723,1.0
WS-localized,Adaptive TD,0.1,100,0.4782631038026722,0.16046028392487235,0.016046028392487234,0.750178137020089,0.07480682690317308,0.007480682690317308,1.0
WS-localized,Adaptive TD,0.2,100,0.49458376156217876,0.15195291330574098,0.015195291330574099,0.7419811441043374,0.07147465775213183,0.007147465775213182,1.0
WS-localized,Adaptive TD,0.5,100,0.5525590955806784,0.1440558755031067,0.01440558755031067,0.7067130596993363,0.07131036602185462,0.0071310366021854615,1.0
