config,method,tau,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
WS-random,Adaptive Katz,100.0,100,0.5393730729701953,0.10936687993456018,0.010936687993456018,0.699568883636329,0.043084389982918886,0.004308438998291889,1.0
WS-random,Adaptive TIA,0.1,100,0.3266392600205549,0.07510539066265312,0.007510539066265312,0.8260989450203866,0.02348073687649575,0.002348073687649575,1.0
WS-random,Adaptive TIA,0.2,100,0.33292908530318605,0.07445145089708188,0.007445145089708188,0.8253156457127837,0.022938677679042622,0.002293867767904262,1.0
WS-random,Adaptive TIA,0.5,100,0.34430626927029806,0.06103800768587921,0.006103800768587921,0.8188254926643631,0.018405680650075727,0.0018405680650075726,1.0
WS-random,Adaptive TIA,1.0,100,0.3614285714285714,0.07732432432876964,0.0077324324328769635,0.8013189806461244,0.021801718464437594,0.0021801718464437595,1.0
WS-random,Adaptive TIA,2.0,100,0.3847379239465571,0.09067292455924741,0.009067292455924742,0.7807708857720224,0.028395375304635515,0.0028395375304635516,1.0
WS-random,Adaptive TIA,5.0,100,0.41712230215827345,0.101675935072236,0.0101675935072236,0.7653564316271904,0.03570300740652607,0.003570300740652607,1.0
WS-random,Adaptive TIA,10.0,100,0.4051593011305241,0.10585992475023148,0.010585992475023148,0.7661375782380492,0.0383321558980431,0.0038332155898043096,1.0
WS-random,Adaptive TIA,20.0,100,0.3951593011305241,0.10911575329343717,0.010911575329343717,0.7694989117324676,0.03876905466495154,0.003876905466495154,1.0
WS-random,Adaptive TIA,50.0,100,0.39054470709146977,0.10521733004986732,0.010521733004986732,0.7712320400542815,0.039789929377880354,0.003978992937788035,1.0
WS-random,Adaptive TIA,100.0,100,0.4089722507708119,0.09889054726924135,0.009889054726924135,0.7646372898318079,0.03715695677160285,0.003715695677160285,1.0
WS-random,GNN-RL,0.1,100,0.2659301130524152,0.08843773159437529,0.008843773159437528,0.863032982208493,0.03593896607167488,0.003593896607167488,1.0
WS-random,GNN-RL,0.2,100,0.27891058581706063,0.08955285462992123,0.008955285462992122,0.8573694831884906,0.03674558414505274,0.003674558414505274,1.0
WS-random,GNN-RL,0.5,100,0.28103802672148,0.07467308981993157,0.007467308981993157,0.8574051411703567,0.030353160049175276,0.0030353160049175275,1.0
WS-random,GNN-RL,1.0,100,0.28043165467625897,0.0925902263770017,0.009259022637700171,0.8544411345540928,0.038216902859534066,0.0038216902859534068,1.0
WS-random,GNN-RL,2.0,100,0.2850565262076054,0.09155192441081804,0.009155192441081804,0.8505036600370508,0.038510978886109756,0.0038510978886109755,1.0
WS-random,GNN-RL,5.0,100,0.304994861253854,0.09789483992835492,0.009789483992835493,0.8393675008144416,0.041738340381930916,0.0041738340381930914,1.0
WS-random,GNN-RL,10.0,100,0.28388489208633094,0.0949124693746422,0.009491246937464221,0.8476585073225545,0.040149233114924986,0.0040149233114924986,1.0
WS-random,GNN-RL,20.0,100,0.2741109969167523,0.09661130246536877,0.009661130246536876,0.8520987721120358,0.04215712425745631,0.004215712425745631,1.0
WS-random,GNN-RL,50.0,100,0.2684789311408017,0.0898926202384059,0.00898926202384059,0.8536448898586829,0.03805361035865765,0.0038053610358657645,1.0
WS-random,GNN-RL,100.0,100,0.2796197327852004,0.08716782911957051,0.00871678291195705,0.8490168116162359,0.03764169133804772,0.003764169133804772,1.0
WS-localized,Adaptive TD,0.1,100,0.674069886947585,0.1343744803256508,0.01343744803256508,0.6139162806654365,0.050013538188474614,0.005001353818847461,1.0
WS-localized,Adaptive TD,0.2,100,0.6888797533401849,0.12692982425324675,0.012692982425324675,0.608414871314288,0.04541630307015573,0.004541630307015572,1.0
WS-localized,Adaptive TD,0.5,100,0.6885405960945531,0.1045616908031739,0.01045616908031739,0.6045940268866093,0.04019990770465837,0.004019990770465837,1.0
WS-localized,Adaptive TD,1.0,100,0.6479650565262075,0.12005170860516877,0.012005170860516877,0.6191690006073997,0.044124416325269804,0.00441244163252698,1.0
WS-localized,Adaptive TD,2.0,100,0.6226310380267215,0.11897105219751514,0.011897105219751514,0.6358853677847643,0.048484350128286315,0.004848435012828631,1.0
WS-localized,Adaptive TD,5.0,100,0.6350359712230217,0.11773825327997967,0.011773825327997967,0.635718508159411,0.047754363443028865,0.004775436344302887,1.0
WS-localized,Adaptive TD,10.0,100,0.6094861253854059,0.12955882400678487,0.012955882400678487,0.6451640970935182,0.0562773497280198,0.00562773497280198,1.0
WS-localized,Adaptive TD,20.0,100,0.5907605344295992,0.1306785222233459,0.01306785222233459,0.6566712286924171,0.059115131711382364,0.005911513171138237,1.0
WS-localized,Adaptive TD,50.0,100,0.581819116135663,0.12510286895908837,0.012510286895908837,0.66083579701154,0.05543081441386607,0.005543081441386607,1.0
WS-localized,Adaptive TD,100.0,100,0.6027954779033916,0.12163215477086607,0.012163215477086608,0.6549321324745125,0.0535338442537752,0.00535338442537752,1.0
WS-localized,Adaptive Katz,0.1,100,0.5957862281603288,0.13054871057533862,0.013054871057533862,0.6614676025325333,0.04128421896412051,0.004128421896412051,1.0
WS-localized,Adaptive Katz,0.2,100,0.6086742034943474,0.11983821496585897,0.011983821496585898,0.6580097468985051,0.036252603328418176,0.0036252603328418174,1.0
WS-localized,Adaptive Katz,0.5,100,0.6096197327852004,0.10655799169762738,0.010655799169762737,0.6583956980268773,0.03337726763984751,0.003337726763984751,1.0
WS-localized,Adaptive Katz,1.0,100,0.5780678314491265,0.11285542212919217,0.011285542212919216,0.6728248682676885,0.03745312293257798,0.003745312293257798,1.0
WS-localized,Adaptive Katz,2.0,100,0.5527749229188078,0.11532421453474137,0.011532421453474138,0.688253736261453,0.04213288494202874,0.004213288494202874,1.0
WS-localized,Adaptive Katz,5.0,100,0.5663309352517986,0.11568804039959721,0.011568804039959722,0.6865227901407107,0.04431905951716161,0.0044319059517161615,1.0
WS-localized,Adaptive Katz,10.0,100,0.5436279547790338,0.12030570795695762,0.012030570795695762,0.6963763662832987,0.04801272040414486,0.004801272040414486,1.0
WS-localized,Adaptive Katz,20.0,100,0.5239568345323742,0.12510631373704909,0.012510631373704909,0.707781366016585,0.04947165719300567,0.004947165719300567,1.0
WS-localized,Adaptive Katz,50.0,100,0.5191880781089414,0.11915758913064459,0.01191575891306446,0.7088560729665212,0.04847239256432544,0.004847239256432543,1.0
WS-localized,Adaptive Katz,100.0,100,0.5364953751284686,0.11735271620142468,0.011735271620142467,0.702971505267959,0.04909610807429433,0.004909610807429432,1.0
WS-localized,Adaptive TIA,0.1,100,0.3037204522096609,0.08617742922712976,0.008617742922712977,0.8419193891748702,0.03319939044794072,0.003319939044794072,1.0
WS-localized,Adaptive TIA,0.2,100,0.3169064748201439,0.08533331666134408,0.008533331666134408,0.8372679054945706,0.03241004826703247,0.003241004826703247,1.0
WS-localized,Adaptive TIA,0.5,100,0.33696813977389517,0.07229025527089296,0.007229025527089296,0.824844124479559,0.026688948985946974,0.0026688948985946976,1.0
WS-localized,Adaptive TIA,1.0,100,0.35078108941418296,0.08551190984997889,0.008551190984997889,0.8112514899308433,0.029052835987362514,0.0029052835987362514,1.0
WS-localized,Adaptive TIA,2.0,100,0.37499486125385395,0.10143740725022571,0.010143740725022572,0.7905258119368334,0.0389486564030831,0.00389486564030831,1.0
WS-localized,Adaptive TIA,5.0,100,0.4117677286742034,0.10950178506832582,0.010950178506832582,0.7695537570916864,0.04456434859710597,0.004456434859710597,1.0
WS-localized,Adaptive TIA,10.0,100,0.39634121274409045,0.1181272019621837,0.01181272019621837,0.7749389826638773,0.05036337604808205,0.0050363376048082045,1.0
WS-localized,Adaptive TIA,20.0,100,0.38528263103802673,0.11812306720673144,0.011812306720673144,0.7782692992115352,0.04764639478850643,0.0047646394788506425,1.0
WS-localized,Adaptive TIA,50.0,100,0.3808427543679342,0.11313211429706653,0.011313211429706652,0.7801137309288008,0.04748867840163972,0.004748867840163972,1.0
