lambda_eff,config,method,move_prob,attack_ratio,n_sims,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem
1,WS-localized,Adaptive TIA,0.03,0.03,500,0.20909777777777777,0.04676799390952094,0.002091528271059699,0.9034990536558622,0.021332881831336855,0.0009540354786167881
1,WS-localized,Adaptive TIA,0.04,0.04,500,0.2058377777777778,0.04195331744265815,0.0018762093936682252,0.9050973451864465,0.01919651019618216,0.0008584940345886227
1,WS-localized,Adaptive TIA,0.05,0.05,500,0.2084911111111111,0.045330961757138584,0.0020272622394881036,0.9039071303547344,0.02071075119744582,0.0009262129508514804
1,WS-localized,GNN-RL,0.01,0.01,500,0.18668222222222222,0.03448273506095406,0.0015421147929281726,0.9136981570782371,0.015769442961235204,0.00070523092857255
1,WS-localized,GNN-RL,0.02,0.02,500,0.1845688888888889,0.03290118869104809,0.001471385889074617,0.9146158091479133,0.01504628525371014,0.0006728903327229708
1,WS-localized,GNN-RL,0.03,0.03,500,0.18612,0.035170026801030235,0.0015728514139518614,0.9139426781715771,0.016047094118937764,0.0007176478658256387
1,WS-localized,GNN-RL,0.04,0.04,500,0.18441555555555555,0.03281352709621182,0.001467465543373218,0.9146838761681918,0.01501323540360405,0.0006714122984933029
1,WS-localized,GNN-RL,0.05,0.05,500,0.1857133333333333,0.034537398516626815,0.001544559416983559,0.9140697973869474,0.015830992365912757,0.000707983501629223
5,BA-random,Adaptive TD,0.05,0.01,500,0.5443933333333334,0.020715470571233813,0.0009264240076635041,0.6044495221708299,0.02020701272342375,0.0009036850814355732
5,BA-random,Adaptive TD,0.1,0.02,500,0.5442622222222221,0.0226584163634347,0.0010133151850226713,0.6036576641715375,0.021767083651225753,0.0009734535743213021
5,BA-random,Adaptive TD,0.15,0.03,500,0.5444977777777777,0.021754003349461797,0.0009728686054430938,0.6041471339711848,0.020748928719805423,0.0009279203015556522
5,BA-random,Adaptive TD,0.2,0.04,500,0.5451888888888888,0.023310176339694517,0.0010424627772612834,0.6042307760769665,0.02233015290898218,0.0009986347970489765
5,BA-random,Adaptive TD,0.25,0.05,500,0.5440577777777778,0.023300158850727518,0.0010420147815354021,0.6049548192198789,0.022782168024038693,0.0010188495275314515
5,BA-random,Adaptive Katz,0.05,0.01,500,0.4556244444444444,0.01546330407252946,0.0006915399812585042,0.6740263934702638,0.016452897078862213,0.0007357959259028725
5,BA-random,Adaptive Katz,0.1,0.02,500,0.4547466666666667,0.015152150806868115,0.0006776247841897078,0.6735371769733152,0.016330897018377356,0.0007303399173328079
5,BA-random,Adaptive Katz,0.15,0.03,500,0.45515999999999995,0.015484012623140692,0.0006924660957961483,0.6735637336694815,0.016127380597578175,0.0007212383863039195
5,BA-random,Adaptive Katz,0.2,0.04,500,0.45492222222222223,0.016310002232970605,0.0007294054741219127,0.6739369049257548,0.016289769577657792,0.0007285006422690172
5,BA-random,Adaptive Katz,0.25,0.05,500,0.45522444444444443,0.015879530888365936,0.0007101542103438771,0.6741866761232114,0.01643407001143058,0.0007349539538509905
5,BA-random,Adaptive TIA,0.05,0.01,500,0.3846222222222222,0.017776749970289083,0.0007950004270516751,0.7068186161039357,0.02676697556952769,0.0011970555385108013
5,BA-random,Adaptive TIA,0.1,0.02,500,0.38514444444444446,0.017993863837499416,0.0008047100543704784,0.7044636113522633,0.026728421680647787,0.0011953313561841525
5,BA-random,Adaptive TIA,0.15,0.03,500,0.38474888888888886,0.017531591379458294,0.000784036601564361,0.7051739311096246,0.02663043041774938,0.0011909490536833147
5,BA-random,Adaptive TIA,0.2,0.04,500,0.38563333333333333,0.01670355547277581,0.000747005710061307,0.7041073043213446,0.025421341758288377,0.0011368769650157368
5,BA-random,Adaptive TIA,0.25,0.05,500,0.38682888888888883,0.01845129337364982,0.0008251669251254485,0.7021242587915311,0.027312236904975893,0.0012214403667420912
5,BA-random,GNN-RL,0.05,0.01,500,0.32737111111111106,0.009412366700972728,0.0004209338354506091,0.8052624617102178,0.0065435121690108735,0.0002926347604301081
5,BA-random,GNN-RL,0.1,0.02,500,0.32631333333333334,0.009286182221285213,0.00041529069396487457,0.805776743062728,0.00665863911493956,0.0002977833939728778
