config,method,target_ratio,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
BA-localized,Adaptive TIA,0.08,100,0.2748992576882291,0.0848777539909971,0.008487775399099711,0.6604367170548058,0.0472168135819093,0.00472168135819093,1.0
BA-localized,Adaptive TIA,0.09,100,0.28311158798283265,0.08394741994884483,0.008394741994884483,0.6419087848077153,0.044912030923535136,0.004491203092353514,1.0
BA-localized,Adaptive TIA,0.1,100,0.31050976138828634,0.08948501855711492,0.008948501855711492,0.6300078516947858,0.042017643770029825,0.004201764377002983,1.0
BA-localized,Adaptive TIA,0.11,100,0.3512280701754386,0.12079709791963077,0.012079709791963076,0.5975577377692096,0.04838966149227015,0.0048389661492270145,0.99
BA-localized,Adaptive TIA,0.12,100,0.3392239467849224,0.13205028806399768,0.013205028806399769,0.5841295379261229,0.05028794908926696,0.005028794908926696,0.99
BA-localized,Adaptive TIA,0.13,100,0.37423120089786766,0.11963256889048442,0.011963256889048441,0.5616394297045367,0.05293133318079776,0.005293133318079776,0.99
BA-localized,Adaptive TIA,0.14,100,0.3659137343927356,0.14580345502457867,0.014580345502457867,0.5701481645363808,0.056425681671704676,0.005642568167170467,0.98
BA-localized,Adaptive TIA,0.15,100,0.43374282433983935,0.194577877752626,0.0194577877752626,0.5252891744092743,0.07836017292828913,0.007836017292828913,0.93
BA-localized,GNN-RL,0.01,100,0.0690828402366864,0.03568940060351129,0.003568940060351129,0.9560150838514613,0.015479784318829229,0.0015479784318829229,1.0
BA-localized,GNN-RL,0.02,100,0.09512948207171312,0.0363802220883473,0.0036380222088347298,0.9371643036211001,0.013764726203978445,0.0013764726203978445,1.0
BA-localized,GNN-RL,0.03,100,0.11643863179074446,0.03812827359611414,0.003812827359611414,0.9206680982621855,0.012797151039316168,0.0012797151039316168,1.0
BA-localized,GNN-RL,0.04,100,0.11944105691056908,0.033452856492020365,0.0033452856492020367,0.9129353641002487,0.008985927140043013,0.0008985927140043014,1.0
BA-localized,GNN-RL,0.05,100,0.13796505652620758,0.03965517361575377,0.003965517361575377,0.8957093866032924,0.009583818472795514,0.0009583818472795513,1.0
BA-localized,GNN-RL,0.06,100,0.16838006230529598,0.041330321112202896,0.00413303211122029,0.8778668209535888,0.008392885050047146,0.0008392885050047146,1.0
BA-localized,GNN-RL,0.07,100,0.18292759706190975,0.04717989610960653,0.004717989610960653,0.864258138428533,0.008722841827657552,0.0008722841827657552,1.0
BA-localized,GNN-RL,0.08,100,0.19676564156945914,0.057663345133730004,0.005766334513373,0.8453597019861341,0.010637439758366313,0.0010637439758366314,1.0
BA-localized,GNN-RL,0.09,100,0.21283261802575104,0.05889600600771168,0.005889600600771168,0.830967720229464,0.010649623112062778,0.0010649623112062778,1.0
BA-localized,GNN-RL,0.1,100,0.23984815618221256,0.06375392930604204,0.006375392930604204,0.8159910282630465,0.011519155176431681,0.0011519155176431682,1.0
BA-localized,GNN-RL,0.11,100,0.26148026315789474,0.06814751732255826,0.006814751732255826,0.8033602758247518,0.013234229404602586,0.0013234229404602586,1.0
BA-localized,GNN-RL,0.12,100,0.25272727272727274,0.07711564229784645,0.007711564229784645,0.7941389837652639,0.014961480779634691,0.0014961480779634691,1.0
BA-localized,GNN-RL,0.13,100,0.27206509539842877,0.07407647089956243,0.007407647089956243,0.7872145768331756,0.01598759094257766,0.001598759094257766,1.0
BA-localized,GNN-RL,0.14,100,0.26553916004540296,0.07840029780741337,0.007840029780741336,0.7837658100441289,0.018136143157823914,0.0018136143157823914,1.0
BA-localized,GNN-RL,0.15,100,0.28236509758897815,0.08183179849681924,0.008183179849681924,0.7692823996384612,0.022102782635373266,0.0022102782635373265,1.0
WS-random,Adaptive TD,0.01,100,0.45847140039447737,0.12794275192549784,0.012794275192549784,0.7497685405441428,0.06259467965571505,0.006259467965571505,1.0
WS-random,Adaptive TD,0.02,100,0.5387948207171315,0.10619131000195557,0.010619131000195558,0.6942076423171261,0.044918713744226915,0.004491871374422691,1.0
WS-random,Adaptive TD,0.03,100,0.5845472837022132,0.09383723420327465,0.009383723420327466,0.6596345078702984,0.038362988107543225,0.0038362988107543223,1.0
WS-random,Adaptive TD,0.04,100,0.5928861788617886,0.10510911160341095,0.010510911160341096,0.6453902979671874,0.03984223013167673,0.003984223013167673,1.0
WS-random,Adaptive TD,0.05,100,0.6210277492291881,0.09488297774033687,0.009488297774033688,0.61851715213023,0.03182290914875903,0.003182290914875903,1.0
WS-random,Adaptive TD,0.06,100,0.6630321910695742,0.1051590947448689,0.01051590947448689,0.5959430029505577,0.03405885520921034,0.003405885520921034,1.0
WS-random,Adaptive TD,0.07,100,0.6698950682056664,0.10511506503117096,0.010511506503117097,0.5790095947574327,0.028573386636970878,0.002857338663697088,1.0
WS-random,Adaptive TD,0.08,100,0.6798091198303287,0.10733842875131704,0.010733842875131704,0.5677232172904949,0.030610324628525056,0.0030610324628525054,1.0
WS-random,Adaptive TD,0.09,100,0.6998068669527897,0.09799158088099844,0.009799158088099844,0.5481425195224408,0.03099898331146364,0.003099898331146364,1.0
WS-random,Adaptive TD,0.1,100,0.729880694143167,0.09181015870460296,0.009181015870460297,0.5440637412687968,0.02361200474672176,0.002361200474672176,1.0
WS-random,Adaptive TD,0.11,100,0.7610745614035088,0.0947026340327249,0.00947026340327249,0.5273457769172805,0.030008439962078068,0.003000843996207807,1.0
WS-random,Adaptive TD,0.12,100,0.7608869179600884,0.09098002748598201,0.009098002748598202,0.5136732528234771,0.03355644814058637,0.003355644814058637,1.0
WS-random,Adaptive TD,0.13,100,0.7943995510662178,0.08835241741021566,0.008835241741021566,0.5061960286241245,0.02865034625854144,0.002865034625854144,1.0
WS-random,Adaptive TD,0.14,100,0.7839727582292846,0.08669346670273308,0.008669346670273307,0.5079313802521574,0.034526023914574294,0.0034526023914574293,1.0
WS-random,Adaptive TD,0.15,100,0.813742824339839,0.09348440522166407,0.009348440522166407,0.4989459992941657,0.03556634251442517,0.003556634251442517,0.98
WS-random,Adaptive Katz,0.01,100,0.38226824457593694,0.1422745611042538,0.01422745611042538,0.8064461240272166,0.0696339642139679,0.006963396421396791,1.0
WS-random,Adaptive Katz,0.02,100,0.4675398406374503,0.1148213370477693,0.01148213370477693,0.755765906070602,0.052639529211578044,0.005263952921157804,1.0
WS-random,Adaptive Katz,0.03,100,0.5118712273641851,0.10373204262856629,0.01037320426285663,0.7237121591301144,0.04308120161166868,0.004308120161166868,1.0
WS-random,Adaptive Katz,0.04,100,0.5170934959349593,0.11086903553227667,0.011086903553227667,0.7145253361922838,0.043117370412607416,0.004311737041260742,1.0
